nombre,pais,rubro,n_productos,productos
LABORATORIO ROEMMERS S.A.I.C.,ARG,farmacéutico,10,Ibuprofeno 400mg comprimidos|Paracetamol 500mg comprimidos|Amoxicilina 500mg cápsulas|Enalapril 10mg comprimidos|Atorvastatina 20mg comprimidos|Losartan 50mg comprimidos|Metformina 850mg comprimidos|Omeprazol 20mg cápsulas|Amlodipino 5mg comprimidos|Loratadina 10mg comprimidos
LABORATORIO BAGO S.A.,ARG,farmacéutico,10,Ciprofloxacino 500mg comprimidos|Azitromicina 500mg comprimidos|Claritromicina 500mg comprimidos|Metoprolol 100mg comprimidos|Carvedilol 25mg comprimidos|Sertralina 50mg comprimidos|Alprazolam 0.5mg comprimidos|Pantoprazol 40mg comprimidos|Furosemida 40mg comprimidos|Pregabalina 75mg cápsulas
LABORATORIO PRATER S.A.,ARG,farmacéutico,10,Risedronato 35mg comprimidos|Alendronato 70mg comprimidos|Ibandronato 150mg comprimidos|Calcio + Vitamina D3 comprimidos|Raloxifeno 60mg comprimidos|Denosumab inyectable|Teriparatida inyectable|Vitamina D3 10000UI cápsulas|Calcio carbonato 1250mg|Magnesio + Calcio comprimidos
LABORATORIO PABLO CASSARÁ S.R.L.,ARG,farmacéutico,10,Aciclovir 200mg comprimidos|Valaciclovir 500mg comprimidos|Famciclovir 250mg comprimidos|Oseltamivir 75mg cápsulas|Ribavirina 200mg cápsulas|Lamivudina 150mg comprimidos|Zidovudina 300mg comprimidos|Efavirenz 600mg comprimidos|Tenofovir 300mg comprimidos|Abacavir 300mg comprimidos
LABORATORIO INDUFAR S.A.,ARG,farmacéutico,10,Dexametasona 4mg/ml inyectable|Metilprednisolona 500mg inyectable|Hidrocortisona 100mg inyectable|Betametasona fosfato inyectable|Triamcinolona 40mg/ml inyectable|Budesonida 0.25mg inhalador|Fluticasona 50mcg spray nasal|Mometasona spray nasal|Beclometasona inhalador|Deflazacort 6mg comprimidos
LABORATORIO NATURAL HERBS S.A.,ARG,fitoterapia,10,Valeriana 500mg cápsulas|Pasiflora 300mg cápsulas|Ginkgo biloba 120mg cápsulas|Hipérico 300mg comprimidos|Cúrcuma 500mg cápsulas|Jengibre 250mg cápsulas|Equinácea 400mg cápsulas|Maca 500mg cápsulas|Ashwagandha 300mg cápsulas|Espirulina 500mg comprimidos
QUÍMICA MONTPELLIER S.A.,ARG,cosmética,10,Filtro solar SPF 50 facial|Hidratante corporal|Crema anti-age con retinol|Sérum vitamina C 20%|Contorno de ojos|Tónico facial|Gel limpiador|Espuma limpiadora|Mascarilla hidratante|Crema de noche reparadora
LABORATORIO DRUG PHARMA S.A.,ARG,veterinario,10,Ivermectina + Abamectina pour-on|Moxidectina 1% inyectable|Clorsulon + Ivermectina inyectable|Albendazol + Closantel oral|Fenbendazol oral|Rafoxanida + Levamisol oral|Triclabendazol suspensión|Netobimin oral|Nitroxinil inyectable|Febantel oral
LABORATORIO OVER S.A.,ARG,veterinario,10,Ivermectina 1% solución inyectable|Doramectina 1%|Tilmicosin 25% solución|Enrofloxacino 10%|Gentamicina inyectable|Penicilina + Estreptomicina|Dexametasona inyectable|Tramadol veterinario|Ketoprofeno veterinario|Meloxicam veterinario
LABORATORIO HOLLIDAY-SCOTT S.A.,ARG,veterinario,10,Ivermectina 3.15% inyectable|Praziquantel + Pirantel comprimidos|Fipronil spray|Permetrina pour-on|Fluazuron pour-on|Tilmicosina inyectable|Marbofloxacino comprimidos|Enrofloxacino comprimidos|Amoxicilina inyectable|Doxiciclina oral
LABORATORIO VETANCO S.A.,ARG,veterinario,10,Ivermectina 1% inyectable|Praziquantel comprimidos|Doramectina 1% inyectable|Levamisol oral|Albendazol oral|Enrofloxacino 10% inyectable|Oxitetraciclina inyectable|Florfenicol inyectable|Closantel inyectable|Ivermectina + Closantel inyectable
LABORATORIO FARMACOOP,ARG,farmacéutico,10,Metotrexato 2.5mg comprimidos|Ciclofosfamida 50mg comprimidos|Tamoxifeno 20mg comprimidos|Anastrozol 1mg comprimidos|Letrozol 2.5mg comprimidos|Exemestano 25mg comprimidos|Capecitabina 500mg comprimidos|Mercaptopurina 50mg comprimidos|Hidroxiurea 500mg cápsulas|Megestrol 160mg comprimidos
LABORATORIO ZYMAK S.A.,ARG,nutracéutico,10,Vitamina C 1000mg comprimidos|Vitamina D3 5000UI cápsulas|Vitamina B12 1000mcg sublingual|Ácido fólico 400mcg comprimidos|Magnesio quelado 300mg|Zinc bisglicinato 30mg|Hierro bisglicinato 30mg|Selenio 200mcg cápsulas|Vitamina E 400UI cápsulas|Complejo B comprimidos
LABORATORIO PHARMOS S.A.,ARG,nutracéutico,10,Creatina monohidrato 5g polvo|Proteína Whey concentrada polvo|BCAA 2:1:1 cápsulas|Glutamina 5g polvo|HMB 3g cápsulas|Beta-alanina polvo|Citrulina malato polvo|Arginina polvo|Pre-entreno polvo|Proteína vegana polvo
LABORATORIO VARIFARMA S.A.,ARG,farmacéutico,10,Atorvastatina 10mg comprimidos|Simvastatina 20mg comprimidos|Rosuvastatina 10mg comprimidos|Ezetimiba 10mg comprimidos|Ezetimiba + Simvastatina comprimidos|Fenofibrato 145mg comprimidos|Gemfibrozilo 600mg comprimidos|Niacina 500mg comprimidos|Omega 3 concentrado cápsulas|Colestiramina polvo
LABORATORIO RAFFO S.A.,ARG,farmacéutico,10,Amoxicilina 250mg/5ml suspensión|Cefalexina 250mg/5ml suspensión|Azitromicina 200mg/5ml suspensión|Ibuprofeno 100mg/5ml suspensión|Paracetamol 150mg/5ml gotas|Ibuprofeno gotas pediátrico|Amoxicilina 125mg/5ml suspensión|Trimetoprima + Sulfametoxazol suspensión|Metronidazol 125mg/5ml|Eritromicina suspensión
LABORATORIO TEMIS LOSTALÓ S.A.,ARG,farmacéutico,10,Progesterona micronizada 100mg cápsulas|Estradiol parche 50mcg|Levonorgestrel + Etinilestradiol comprimidos|Desogestrel 75mcg comprimidos|Acetato de medroxiprogesterona inyectable|Tibolona 2.5mg comprimidos|Clomifeno 50mg comprimidos|Danazol 200mg cápsulas|Drospirenona + Etinilestradiol|Dienogest 2mg comprimidos
LABORATORIO EUFAR S.A.,ARG,farmacéutico,10,Paracetamol 1g comprimidos|Ibuprofeno 200mg cápsulas|Naproxeno 500mg comprimidos|Meloxicam 15mg comprimidos|Ketoprofeno 100mg cápsulas|Diclofenac + Misoprostol comprimidos|Nimesulida 100mg comprimidos|Etoricoxib 90mg comprimidos|Celecoxib 100mg cápsulas|Tramadol + Paracetamol comprimidos
LABORATORIO LKM S.A.,ARG,farmacéutico,10,Omeprazol 40mg cápsulas|Esomeprazol 40mg cápsulas|Lansoprazol 30mg cápsulas|Ranitidina 150mg comprimidos|Domperidona 10mg comprimidos|Metoclopramida inyectable|Loperamida 2mg cápsulas|Mesalazina 500mg comprimidos|Pantoprazol inyectable|Sucralfato suspensión
LABORATORIO BERNABO S.A.,ARG,farmacéutico,10,Warfarina 5mg comprimidos|Clopidogrel 75mg comprimidos|Ácido acetilsalicílico 100mg comprimidos|Digoxina 0.25mg comprimidos|Verapamilo 80mg comprimidos|Amiodarona 200mg comprimidos|Bisoprolol 5mg comprimidos|Diltiazem 60mg comprimidos|Enalapril 20mg comprimidos|Ramipril 5mg comprimidos
LABORATORIO ANDRÓMACO S.A.,ARG,farmacéutico,10,Ácido valproico 500mg comprimidos|Fenitoína 100mg comprimidos|Fenobarbital 100mg comprimidos|Levodopa + Carbidopa 250mg|Pramipexol 1mg comprimidos|Memantina 10mg comprimidos|Donepezilo 10mg comprimidos|Rivastigmina parche|Galantamina cápsulas|Tolterodina 4mg cápsulas
LABORATORIO STIEFEL S.A.,ARG,dermocosmética,10,Tretinoína crema 0.05%|Adapaleno gel 0.1%|Ácido salicílico solución|Peróxido de benzoilo gel|Clindamicina + Tretinoína gel|Niacinamida crema|Ácido hialurónico sérum|Vitamina C sérum|Filtro solar SPF 50|Retinol crema noche
LABORATORIO PFIZER S.R.L.,ARG,farmacéutico,10,Atorvastatina 40mg comprimidos|Amlodipino 10mg comprimidos|Celecoxib 200mg cápsulas|Pregabalina 75mg cápsulas|Azitromicina 500mg comprimidos|Amoxicilina + Clavulanico comprimidos|Sildenafil 50mg comprimidos|Doxiciclina 100mg cápsulas|Fluconazol 150mg cápsulas|Ciprofloxacino 750mg comprimidos
LABORATORIO SIDUS S.A.,ARG,farmacéutico,10,Risperidona 2mg comprimidos|Olanzapina 10mg comprimidos|Quetiapina 100mg comprimidos|Clonazepam 2mg comprimidos|Diazepam 10mg comprimidos|Venlafaxina 75mg cápsulas|Escitalopram 20mg comprimidos|Gabapentina 300mg cápsulas|Pregabalina 150mg cápsulas|Carbamazepina 400mg comprimidos
